beer_id;count;ngram
29;16;thin white head
29;14;white head
29;12;small white head
203;58;white head
203;43;small white head
203;20;12 oz bottle
203;18;thin white head
203;17;clear pale yellow
203;15;bottle pours clear
203;13;pours clear golden
203;13;yellow small white
203;12;clear golden color
203;12;pours pale yellow
203;12;color small white
203;12;pours clear pale
203;11;pours clear yellow
203;11;foamy white head
203;11;white head
204;17;white head
204;15;small white head
206;10;341 ml bottle
207;11;pours dark brown
208;11;white head
213;14;tan head
213;13;aroma roasted malt
213;11;thin tan head
213;10;aroma roasted
213;10;brown head
214;101;white head
214;52;small white head
214;31;thin white head
214;22;pours clear golden
214;21;330 ml bottle
214;20;yellow white head
214;19;clear golden color
214;19;12 oz bottle
214;18;medium white head
214;18;bottle pours clear
214;16;spicy indian food
214;16;white head
214;15;aroma malt
214;15;frothy white head
214;15;color small white
221;28;white head
221;11;small white head
223;24;white head
223;19;12 oz bottle
223;13;small white head
223;13;thin white head
223;10;bottle pours clear
224;57;white head
224;39;12 oz bottle
224;36;thin white head
224;35;small white head
224;30;pours clear amber
224;28;pours clear amber
224;28;best mexican beer
224;27;dark amber color
224;24;offwhite head
224;22;clear amber color
224;22;aroma sweet
224;22;bottle pours clear
224;20;amber color small
224;20;regular do equis
224;20;nice amber color
225;74;white head
225;45;small white head
225;33;thin white head
225;25;pours pale yellow
225;23;12 oz bottle
225;20;interesting man world
225;18;yellow white head
225;17;do equis amber
225;17;fizzy white head
225;17;bottle pours pale
225;16;hot summer day
225;16;mexican pale lager
225;15;pours clear golden
225;15;color white head
225;15;pale yellow color
226;74;white head
226;31;small white head
226;24;thin white head
226;23;12 oz bottle
226;18;fizzy white head
226;18;aroma corn
226;16;pours clear golden
226;13;yellow white head
226;13;clear golden color
226;13;foamy white head
226;12;cinco de mayo
226;12;pale yellow color
226;12;pale golden color
226;11;aroma sweet
226;10;pours clear gold
227;16;white head
227;10;small white head
230;62;white head
230;37;small white head
230;31;thin white head
230;23;12 oz bottle
230;18;clear pale golden
230;17;bottle pours clear
230;16;yellow small white
230;15;aroma corn
230;15;pours pale yellow
230;15;yellow white head
230;15;pours clear pale
230;14;bottle pours pale
230;13;frothy white head
230;13;pale yellow color
230;13;yellow thin white
231;11;white head
237;53;white head
237;31;small white head
237;18;12 oz bottle
237;18;thin white head
237;17;pivo pivo pivo
237;16;pours clear yellow
237;15;clear pale yellow
237;14;color white head
237;13;pours pale yellow
237;13;white head
237;12;light golden color
237;11;medium white head
237;11;pale yellow color
237;11;frothy white head
237;10;pours clear golden
240;21;white head
241;11;white head
247;29;white head
247;11;small white head
247;10;12 oz bottle
247;10;thin white head
248;13;white head
248;10;thin white head
248;10;small white head
251;119;white head
251;64;small white head
251;29;thin white head
251;26;medium white head
251;23;pours clear golden
251;23;asahi super dry
251;22;aroma malt
251;22;white head
251;21;yellow white head
251;20;frothy white head
251;19;aroma grain
251;19;pale golden color
251;18;clear golden color
251;17;color small white
251;17;color white head
252;55;white head
252;34;small white head
252;26;thin white head
252;17;pours pale yellow
252;14;12 oz bottle
252;14;mass produced beer
252;13;fizzy white head
252;13;light golden color
252;12;better american macro
252;11;macro pale lager
252;11;pale yellow color
252;11;bottle pours clear
252;10;clear pale yellow
253;12;small white head
253;11;white head
262;17;white head
262;14;small white head
263;19;white head
263;11;pale yellow color
263;11;light golden color
263;11;better light beer
267;14;small white head
267;11;white head
268;115;white head
268;73;small white head
268;41;thin white head
268;27;pours clear golden
268;25;yellow white head
268;25;white head
268;24;clear golden color
268;24;12 oz bottle
268;23;bottle pours clear
268;20;frothy white head
268;20;yellow small white
268;19;clear pale yellow
268;19;light golden color
268;18;aroma sweet
